session_id,t1_structured_execution,t2_quality_perfectionism,t3_exploration_innovation,t4_analytical_insight,t5_influence_advocacy,t6_collaboration_harmony,t7_customer_orientation,t8_learning_growth,t9_discipline_trust,t10_pressure_regulation,t11_conflict_integration,t12_responsibility_accountability,theta_estimates,standard_errors,percentiles,norm_group,overall_confidence,dimension_reliability,response_consistency,dominant_talents,supporting_talents,lesser_talents,scoring_algorithm,algorithm_version,computation_time_ms,calibration_version,id,created_at,updated_at,t1_analytical_insight,t2_influence_advocacy,t3_collaboration_harmony,t4_pressure_regulation,t5_conflict_integration,t6_responsibility_accountability,t10_structured_execution,t11_quality_perfectionism,t12_exploration_innovation,t4_structured_execution,t5_quality_perfectionism,t6_exploration_innovation,t7_pressure_regulation,t8_conflict_integration,t9_responsibility_accountability,t10_customer_orientation,t11_learning_growth,t12_discipline_trust,t1_pressure_regulation,t2_conflict_integration,t3_responsibility_accountability,t10_analytical_insight,t11_influence_advocacy,t12_collaboration_harmony,t7_structured_execution,t8_quality_perfectionism,t9_exploration_innovation,t4_customer_orientation,t5_learning_growth,t6_discipline_trust,t1_responsibility_accountability,t6_structured_execution,t7_quality_perfectionism,t8_pressure_regulation,t9_customer_orientation,t10_discipline_trust,t11_exploration_innovation,t12_learning_growth,t1_discipline_trust,t2_structured_execution,t3_conflict_integration,t4_influence_advocacy,t5_exploration_innovation,t6_analytical_insight,t7_learning_growth,t10_quality_perfectionism,t11_customer_orientation,t9_collaboration_harmony,t10_exploration_innovation,t11_analytical_insight,t12_influence_advocacy,t1_exploration_innovation,t2_analytical_insight,t3_learning_growth,t4_discipline_trust,t5_pressure_regulation,t9_influence_advocacy,t10_conflict_integration,t1_customer_orientation,t4_exploration_innovation,t5_collaboration_harmony,t7_discipline_trust,t8_structured_execution,t9_analytical_insight,t2_collaboration_harmony,t3_quality_perfectionism,t6_conflict_integration,t8_customer_orientation,t11_structured_execution,t5_structured_execution,t10_influence_advocacy
v4_1b415d73d0ec,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,"{""T1"": -1.5, ""T2"": -1.5, ""T3"": -1.5, ""T4"": -1.5, ""T5"": -1.5, ""T6"": -1.5, ""T7"": -1.5, ""T8"": -1.5, ""T9"": -1.5, ""T10"": -1.5, ""T11"": -1.5, ""T12"": -1.5}","{""t1"": 0.3479, ""t2"": 0.3379, ""t3"": 0.3348, ""t4"": 0.4731, ""t5"": 0.3912, ""t6"": 0.4762, ""t7"": 0.3241, ""t8"": 0.4915, ""t9"": 0.3243, ""t10"": 0.4778, ""t11"": 0.418, ""t12"": 0.4227}","{""structured_execution"": 20.0, ""quality_perfectionism"": 20.0, ""exploration_innovation"": 20.0, ""analytical_insight"": 20.0, ""influence_advocacy"": 20.0, ""collaboration_harmony"": 20.0, ""customer_orientation"": 20.0, ""learning_growth"": 20.0, ""discipline_trust"": 20.0, ""pressure_regulation"": 20.0, ""conflict_integration"": 20.0, ""responsibility_accountability"": 20.0}",taiwan_2025,0.8637806247231341,"{""t1"": 0.87, ""t2"": 0.87, ""t3"": 0.87, ""t4"": 0.87, ""t5"": 0.87, ""t6"": 0.87, ""t7"": 0.87, ""t8"": 0.87, ""t9"": 0.87, ""t10"": 0.87, ""t11"": 0.87, ""t12"": 0.87}",0.0,"[""structured_execution"", ""quality_perfectionism"", ""exploration_innovation"", ""analytical_insight""]","[""influence_advocacy"", ""collaboration_harmony"", ""customer_orientation"", ""learning_growth""]","[""discipline_trust"", ""pressure_regulation"", ""conflict_integration"", ""responsibility_accountability""]",thurstonian_irt_v4,4.0.0-alpha,0.1,v4_pilot_2025,1,2025-10-02T15:10:00.305538,2025-10-02T15:10:00.305557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v4_153177ccdcbc,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,"{""T1"": -1.5, ""T2"": -1.5, ""T3"": -1.5, ""T4"": -1.5, ""T5"": -1.5, ""T6"": -1.5, ""T7"": -1.5, ""T8"": -1.5, ""T9"": -1.5, ""T10"": -1.5, ""T11"": -1.5, ""T12"": -1.5}","{""t1"": 0.3473, ""t2"": 0.3013, ""t3"": 0.4083, ""t4"": 0.3626, ""t5"": 0.4727, ""t6"": 0.3877, ""t7"": 0.4252, ""t8"": 0.4551, ""t9"": 0.4722, ""t10"": 0.3986, ""t11"": 0.4222, ""t12"": 0.3166}","{""structured_execution"": 20.0, ""quality_perfectionism"": 20.0, ""exploration_innovation"": 20.0, ""analytical_insight"": 20.0, ""influence_advocacy"": 20.0, ""collaboration_harmony"": 20.0, ""customer_orientation"": 20.0, ""learning_growth"": 20.0, ""discipline_trust"": 20.0, ""pressure_regulation"": 20.0, ""conflict_integration"": 20.0, ""responsibility_accountability"": 20.0}",taiwan_2025,0.9107033090862585,"{""t1"": 0.87, ""t2"": 0.87, ""t3"": 0.87, ""t4"": 0.87, ""t5"": 0.87, ""t6"": 0.87, ""t7"": 0.87, ""t8"": 0.87, ""t9"": 0.87, ""t10"": 0.87, ""t11"": 0.87, ""t12"": 0.87}",0.0,"[""structured_execution"", ""quality_perfectionism"", ""exploration_innovation"", ""analytical_insight""]","[""influence_advocacy"", ""collaboration_harmony"", ""customer_orientation"", ""learning_growth""]","[""discipline_trust"", ""pressure_regulation"", ""conflict_integration"", ""responsibility_accountability""]",thurstonian_irt_v4,4.0.0-alpha,0.0,v4_pilot_2025,2,2025-10-02T15:14:25.739457,2025-10-02T15:14:25.739462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v4_52b474c6eb0b,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,"{""T1"": -1.5, ""T2"": -1.5, ""T3"": -1.5, ""T4"": -1.5, ""T5"": -1.5, ""T6"": -1.5, ""T7"": -1.5, ""T8"": -1.5, ""T9"": -1.5, ""T10"": -1.5, ""T11"": -1.5, ""T12"": -1.5}","{""t1"": 0.3147, ""t2"": 0.3665, ""t3"": 0.3388, ""t4"": 0.3175, ""t5"": 0.3976, ""t6"": 0.4513, ""t7"": 0.3056, ""t8"": 0.3251, ""t9"": 0.4861, ""t10"": 0.4095, ""t11"": 0.4287, ""t12"": 0.4662}","{""structured_execution"": 20.0, ""quality_perfectionism"": 20.0, ""exploration_innovation"": 20.0, ""analytical_insight"": 20.0, ""influence_advocacy"": 20.0, ""collaboration_harmony"": 20.0, ""customer_orientation"": 20.0, ""learning_growth"": 20.0, ""discipline_trust"": 20.0, ""pressure_regulation"": 20.0, ""conflict_integration"": 20.0, ""responsibility_accountability"": 20.0}",taiwan_2025,0.8630781525006632,"{""t1"": 0.87, ""t2"": 0.87, ""t3"": 0.87, ""t4"": 0.87, ""t5"": 0.87, ""t6"": 0.87, ""t7"": 0.87, ""t8"": 0.87, ""t9"": 0.87, ""t10"": 0.87, ""t11"": 0.87, ""t12"": 0.87}",0.0,"[""structured_execution"", ""quality_perfectionism"", ""exploration_innovation"", ""analytical_insight""]","[""influence_advocacy"", ""collaboration_harmony"", ""customer_orientation"", ""learning_growth""]","[""discipline_trust"", ""pressure_regulation"", ""conflict_integration"", ""responsibility_accountability""]",thurstonian_irt_v4,4.0.0-alpha,0.0,v4_pilot_2025,3,2025-10-02T15:32:46.726751,2025-10-02T15:32:46.726756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v4_7231fbc82477,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,"{""T1"": -1.5, ""T2"": -1.5, ""T3"": -1.5, ""T4"": -1.5, ""T5"": -1.5, ""T6"": -1.5, ""T7"": -1.5, ""T8"": -1.5, ""T9"": -1.5, ""T10"": -1.5, ""T11"": -1.5, ""T12"": -1.5}","{""t1"": 0.3439, ""t2"": 0.4024, ""t3"": 0.3595, ""t4"": 0.4141, ""t5"": 0.4117, ""t6"": 0.4358, ""t7"": 0.4825, ""t8"": 0.4732, ""t9"": 0.3451, ""t10"": 0.4922, ""t11"": 0.3693, ""t12"": 0.4822}","{""structured_execution"": 20.0, ""quality_perfectionism"": 20.0, ""exploration_innovation"": 20.0, ""analytical_insight"": 20.0, ""influence_advocacy"": 20.0, ""collaboration_harmony"": 20.0, ""customer_orientation"": 20.0, ""learning_growth"": 20.0, ""discipline_trust"": 20.0, ""pressure_regulation"": 20.0, ""conflict_integration"": 20.0, ""responsibility_accountability"": 20.0}",taiwan_2025,0.9067471788057273,"{""t1"": 0.87, ""t2"": 0.87, ""t3"": 0.87, ""t4"": 0.87, ""t5"": 0.87, ""t6"": 0.87, ""t7"": 0.87, ""t8"": 0.87, ""t9"": 0.87, ""t10"": 0.87, ""t11"": 0.87, ""t12"": 0.87}",0.0,"[""structured_execution"", ""quality_perfectionism"", ""exploration_innovation"", ""analytical_insight""]","[""influence_advocacy"", ""collaboration_harmony"", ""customer_orientation"", ""learning_growth""]","[""discipline_trust"", ""pressure_regulation"", ""conflict_integration"", ""responsibility_accountability""]",thurstonian_irt_v4,4.0.0-alpha,0.0,v4_pilot_2025,4,2025-10-02T15:33:46.759615,2025-10-02T15:33:46.759623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v4_e4ad83f7f3fa,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,"{""T1"": -1.5, ""T2"": -1.5, ""T3"": -1.5, ""T4"": -1.5, ""T5"": -1.5, ""T6"": -1.5, ""T7"": -1.5, ""T8"": -1.5, ""T9"": -1.5, ""T10"": -1.5, ""T11"": -1.5, ""T12"": -1.5}","{""t1"": 0.3703, ""t2"": 0.3301, ""t3"": 0.4991, ""t4"": 0.325, ""t5"": 0.3629, ""t6"": 0.4832, ""t7"": 0.35, ""t8"": 0.4346, ""t9"": 0.423, ""t10"": 0.4617, ""t11"": 0.3059, ""t12"": 0.4766}","{""structured_execution"": 20.0, ""quality_perfectionism"": 20.0, ""exploration_innovation"": 20.0, ""analytical_insight"": 20.0, ""influence_advocacy"": 20.0, ""collaboration_harmony"": 20.0, ""customer_orientation"": 20.0, ""learning_growth"": 20.0, ""discipline_trust"": 20.0, ""pressure_regulation"": 20.0, ""conflict_integration"": 20.0, ""responsibility_accountability"": 20.0}",taiwan_2025,0.875564982451621,"{""t1"": 0.87, ""t2"": 0.87, ""t3"": 0.87, ""t4"": 0.87, ""t5"": 0.87, ""t6"": 0.87, ""t7"": 0.87, ""t8"": 0.87, ""t9"": 0.87, ""t10"": 0.87, ""t11"": 0.87, ""t12"": 0.87}",0.0,"[""structured_execution"", ""quality_perfectionism"", ""exploration_innovation"", ""analytical_insight""]","[""influence_advocacy"", ""collaboration_harmony"", ""customer_orientation"", ""learning_growth""]","[""discipline_trust"", ""pressure_regulation"", ""conflict_integration"", ""responsibility_accountability""]",thurstonian_irt_v4,4.0.0-alpha,0.0,v4_pilot_2025,5,2025-10-02T15:35:43.114297,2025-10-02T15:35:43.114302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v4_80486afcdda5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,"{""T1"": -1.5, ""T2"": -1.5, ""T3"": -1.5, ""T4"": -1.5, ""T5"": -1.5, ""T6"": -1.5, ""T7"": -1.5, ""T8"": -1.5, ""T9"": -1.5, ""T10"": -1.5, ""T11"": -1.5, ""T12"": -1.5}","{""t1"": 0.3008, ""t2"": 0.33, ""t3"": 0.3749, ""t4"": 0.4462, ""t5"": 0.409, ""t6"": 0.3434, ""t7"": 0.4318, ""t8"": 0.4741, ""t9"": 0.3877, ""t10"": 0.3151, ""t11"": 0.4974, ""t12"": 0.4696}","{""structured_execution"": 20.0, ""quality_perfectionism"": 20.0, ""exploration_innovation"": 20.0, ""analytical_insight"": 20.0, ""influence_advocacy"": 20.0, ""collaboration_harmony"": 20.0, ""customer_orientation"": 20.0, ""learning_growth"": 20.0, ""discipline_trust"": 20.0, ""pressure_regulation"": 20.0, ""conflict_integration"": 20.0, ""responsibility_accountability"": 20.0}",taiwan_2025,0.8785007386977141,"{""t1"": 0.87, ""t2"": 0.87, ""t3"": 0.87, ""t4"": 0.87, ""t5"": 0.87, ""t6"": 0.87, ""t7"": 0.87, ""t8"": 0.87, ""t9"": 0.87, ""t10"": 0.87, ""t11"": 0.87, ""t12"": 0.87}",0.0,"[""structured_execution"", ""quality_perfectionism"", ""exploration_innovation"", ""analytical_insight""]","[""influence_advocacy"", ""collaboration_harmony"", ""customer_orientation"", ""learning_growth""]","[""discipline_trust"", ""pressure_regulation"", ""conflict_integration"", ""responsibility_accountability""]",thurstonian_irt_v4,4.0.0-alpha,0.1,v4_pilot_2025,6,2025-10-02T16:55:46.468500,2025-10-02T16:55:46.468520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v4_51891bd0dfab,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,"{""T1"": -1.5, ""T2"": -1.5, ""T3"": -1.5, ""T4"": -1.5, ""T5"": -1.5, ""T6"": -1.5, ""T7"": -1.5, ""T8"": -1.5, ""T9"": -1.5, ""T10"": -1.5, ""T11"": -1.5, ""T12"": -1.5}","{""t1"": 0.4744, ""t2"": 0.3658, ""t3"": 0.4936, ""t4"": 0.4048, ""t5"": 0.4132, ""t6"": 0.3857, ""t7"": 0.4274, ""t8"": 0.4517, ""t9"": 0.3147, ""t10"": 0.3269, ""t11"": 0.3354, ""t12"": 0.3298}","{""structured_execution"": 20.0, ""quality_perfectionism"": 20.0, ""exploration_innovation"": 20.0, ""analytical_insight"": 20.0, ""influence_advocacy"": 20.0, ""collaboration_harmony"": 20.0, ""customer_orientation"": 20.0, ""learning_growth"": 20.0, ""discipline_trust"": 20.0, ""pressure_regulation"": 20.0, ""conflict_integration"": 20.0, ""responsibility_accountability"": 20.0}",taiwan_2025,0.8840905294001574,"{""t1"": 0.87, ""t2"": 0.87, ""t3"": 0.87, ""t4"": 0.87, ""t5"": 0.87, ""t6"": 0.87, ""t7"": 0.87, ""t8"": 0.87, ""t9"": 0.87, ""t10"": 0.87, ""t11"": 0.87, ""t12"": 0.87}",0.0,"[""structured_execution"", ""quality_perfectionism"", ""exploration_innovation"", ""analytical_insight""]","[""influence_advocacy"", ""collaboration_harmony"", ""customer_orientation"", ""learning_growth""]","[""discipline_trust"", ""pressure_regulation"", ""conflict_integration"", ""responsibility_accountability""]",thurstonian_irt_v4,4.0.0-alpha,0.0,v4_pilot_2025,7,2025-10-02T17:02:28.160523,2025-10-02T17:02:28.160530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v4_70f509c87167,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,"{""T1"": -1.5, ""T2"": -1.5, ""T3"": -1.5, ""T4"": -1.5, ""T5"": -1.5, ""T6"": -1.5, ""T7"": -1.5, ""T8"": -1.5, ""T9"": -1.5, ""T10"": -1.5, ""T11"": -1.5, ""T12"": -1.5}","{""t1"": 0.4033, ""t2"": 0.4298, ""t3"": 0.3901, ""t4"": 0.4136, ""t5"": 0.4941, ""t6"": 0.3075, ""t7"": 0.4305, ""t8"": 0.4232, ""t9"": 0.4826, ""t10"": 0.365, ""t11"": 0.3381, ""t12"": 0.3576}","{""structured_execution"": 20.0, ""quality_perfectionism"": 20.0, ""exploration_innovation"": 20.0, ""analytical_insight"": 20.0, ""influence_advocacy"": 20.0, ""collaboration_harmony"": 20.0, ""customer_orientation"": 20.0, ""learning_growth"": 20.0, ""discipline_trust"": 20.0, ""pressure_regulation"": 20.0, ""conflict_integration"": 20.0, ""responsibility_accountability"": 20.0}",taiwan_2025,0.8616841327447939,"{""t1"": 0.87, ""t2"": 0.87, ""t3"": 0.87, ""t4"": 0.87, ""t5"": 0.87, ""t6"": 0.87, ""t7"": 0.87, ""t8"": 0.87, ""t9"": 0.87, ""t10"": 0.87, ""t11"": 0.87, ""t12"": 0.87}",0.0,"[""structured_execution"", ""quality_perfectionism"", ""exploration_innovation"", ""analytical_insight""]","[""influence_advocacy"", ""collaboration_harmony"", ""customer_orientation"", ""learning_growth""]","[""discipline_trust"", ""pressure_regulation"", ""conflict_integration"", ""responsibility_accountability""]",thurstonian_irt_v4,4.0.0-alpha,0.1,v4_pilot_2025,8,2025-10-02T17:32:00.339723,2025-10-02T17:32:00.339734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v4_04a0d269a2ac,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,"{""T1"": -1.5, ""T2"": -1.5, ""T3"": -1.5, ""T4"": -1.5, ""T5"": -1.5, ""T6"": -1.5, ""T7"": -1.5, ""T8"": -1.5, ""T9"": -1.5, ""T10"": -1.5, ""T11"": -1.5, ""T12"": -1.5}","{""t1"": 0.4163, ""t2"": 0.4976, ""t3"": 0.4143, ""t4"": 0.4518, ""t5"": 0.3463, ""t6"": 0.4496, ""t7"": 0.4127, ""t8"": 0.3664, ""t9"": 0.4091, ""t10"": 0.4543, ""t11"": 0.3303, ""t12"": 0.4356}","{""structured_execution"": 20.0, ""quality_perfectionism"": 20.0, ""exploration_innovation"": 20.0, ""analytical_insight"": 20.0, ""influence_advocacy"": 20.0, ""collaboration_harmony"": 20.0, ""customer_orientation"": 20.0, ""learning_growth"": 20.0, ""discipline_trust"": 20.0, ""pressure_regulation"": 20.0, ""conflict_integration"": 20.0, ""responsibility_accountability"": 20.0}",taiwan_2025,0.9237580396736756,"{""t1"": 0.87, ""t2"": 0.87, ""t3"": 0.87, ""t4"": 0.87, ""t5"": 0.87, ""t6"": 0.87, ""t7"": 0.87, ""t8"": 0.87, ""t9"": 0.87, ""t10"": 0.87, ""t11"": 0.87, ""t12"": 0.87}",0.0,"[""structured_execution"", ""quality_perfectionism"", ""exploration_innovation"", ""analytical_insight""]","[""influence_advocacy"", ""collaboration_harmony"", ""customer_orientation"", ""learning_growth""]","[""discipline_trust"", ""pressure_regulation"", ""conflict_integration"", ""responsibility_accountability""]",thurstonian_irt_v4,4.0.0-alpha,0.1,v4_pilot_2025,9,2025-10-02T17:37:51.186417,2025-10-02T17:37:51.186438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v4_d37280bc695a,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,"{""T1"": -1.5, ""T2"": -1.5, ""T3"": -1.5, ""T4"": -1.5, ""T5"": -1.5, ""T6"": -1.5, ""T7"": -1.5, ""T8"": -1.5, ""T9"": -1.5, ""T10"": -1.5, ""T11"": -1.5, ""T12"": -1.5}","{""t1"": 0.3317, ""t2"": 0.3907, ""t3"": 0.4101, ""t4"": 0.4426, ""t5"": 0.4476, ""t6"": 0.3689, ""t7"": 0.3785, ""t8"": 0.4934, ""t9"": 0.303, ""t10"": 0.3118, ""t11"": 0.4715, ""t12"": 0.4294}","{""structured_execution"": 20.0, ""quality_perfectionism"": 20.0, ""exploration_innovation"": 20.0, ""analytical_insight"": 20.0, ""influence_advocacy"": 20.0, ""collaboration_harmony"": 20.0, ""customer_orientation"": 20.0, ""learning_growth"": 20.0, ""discipline_trust"": 20.0, ""pressure_regulation"": 20.0, ""conflict_integration"": 20.0, ""responsibility_accountability"": 20.0}",taiwan_2025,0.8651395974411968,"{""t1"": 0.87, ""t2"": 0.87, ""t3"": 0.87, ""t4"": 0.87, ""t5"": 0.87, ""t6"": 0.87, ""t7"": 0.87, ""t8"": 0.87, ""t9"": 0.87, ""t10"": 0.87, ""t11"": 0.87, ""t12"": 0.87}",0.0,"[""structured_execution"", ""quality_perfectionism"", ""exploration_innovation"", ""analytical_insight""]","[""influence_advocacy"", ""collaboration_harmony"", ""customer_orientation"", ""learning_growth""]","[""discipline_trust"", ""pressure_regulation"", ""conflict_integration"", ""responsibility_accountability""]",thurstonian_irt_v4,4.0.0-alpha,0.0,v4_pilot_2025,10,2025-10-02T18:07:12.307962,2025-10-02T18:07:12.307968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
